Ders Kodu,Ders Section,Ders Adı,Hoca,Saat
ACCT 201,ACCT 201.A,Finansal Muhasebe,ALİNA TARAN,Perşembe 11:40 - 14:30
ACCT 201,ACCT 201.B,Finansal Muhasebe,ALİNA TARAN,Salı 08:40 - 11:30
ACCT 201,ACCT 201.C,Finansal Muhasebe,ALİNA TARAN,Pazartesi 08:40 - 11:30
BUS 100,BUS 100.A,İşletmenin Temelleri,AHMET MURAT FİŞ,Salı 14:40 - 16:30 / Perşembe 16:40 - 17:30
BUS 100,BUS 100.B,İşletmenin Temelleri,AHMET MURAT FİŞ,Salı 16:40 - 18:30 / Perşembe 16:40 - 17:30
BUS 102,BUS 102.A,İşletmeye Giriş II (Girişimcilik),BOCHRA IDRIS,Salı 16:40 - 18:30
BUS 102,BUS 102.B,İşletmeye Giriş II (Girişimcilik),BOCHRA IDRIS,Salı 14:40 - 16:30
BUS 190,BUS 190.A,İşletme Bilişimine Giriş,BERİL GÜL,Salı 11:40 - 12:30
BUS 190,BUS 190.B,İşletme Bilişimine Giriş,BERİL GÜL,Salı 12:40 - 13:30
BUS 190,BUS 190.C,İşletme Bilişimine Giriş,BERİL GÜL,Salı 13:40 - 14:30
BUS 190,BUS 190.D,İşletme Bilişimine Giriş,BERİL GÜL,Salı 11:40 - 12:30
BUS 190,BUS 190.E,İşletme Bilişimine Giriş,BERİL GÜL,Salı 12:40 - 13:30
BUS 190,BUS 190.F,İşletme Bilişimine Giriş,BERİL GÜL,Salı 13:40 - 14:30
ECON 101,ECON 101.A,Mikroekonomi,ÖZGÜN EKİCİ,Pazartesi 15:40 - 18:30
ECON 101,ECON 101.B,Mikroekonomi,ERCAN ASLAN,Çarşamba 12:40 - 15:30
ECON 101,ECON 101.C,Mikroekonomi,ARSENIY SAMSONOV,Pazartesi 15:40 - 18:30
ECON 101,ECON 101.D,Mikroekonomi,ARSENIY SAMSONOV,Çarşamba 12:40 - 15:30
ECON 101,ECON 101.E,Mikroekonomi,ARSENIY SAMSONOV,Salı 08:40 - 11:30
ECON 101,ECON 101.F,Mikroekonomi,BAŞAK ALTAN ÖZENER,Perşembe 13:40 - 16:30
ENG 101,ENG 101.A,İngilizce I,HALİME KUTLUTAN AK,Çarşamba 11:40 - 13:30 / Perşembe 11:40 - 13:30
ENG 101,ENG 101.AA,İngilizce I,ALI NEZAMI,Perşembe 13:40 - 15:30 / Cuma 09:40 - 11:30
ENG 101,ENG 101.AB,İngilizce I,BERRİN RÜZGAR,Çarşamba 12:40 - 14:30 / Cuma 14:40 - 16:30
ENG 101,ENG 101.AC,İngilizce I,BERRİN RÜZGAR,Pazartesi 16:40 - 18:30 / Perşembe 16:40 - 18:30
ENG 101,ENG 101.AD,İngilizce I,BERRİN RÜZGAR,Çarşamba 08:40 - 10:30 / Cuma 10:40 - 12:30
ENG 101,ENG 101.AE,İngilizce I,MELTEM AKPINAR YILMAZ,Pazartesi 12:40 - 14:30 / Cuma 14:40 - 16:30
