Ders Kodu,Ders Section,Ders Adı,Hoca,Saat
ACCT 201,ACCT 201.A,Finansal Muhasebe,ALİNA TARAN,Perşembe 13:40 - 16:30
ACCT 201,ACCT 201.B,Finansal Muhasebe,ALİNA TARAN,Pazartesi 08:40 - 11:30
ACCT 201,ACCT 201.C,Finansal Muhasebe,ALİNA TARAN,Çarşamba 08:40 - 11:30
ACCT 301,ACCT 301.B,Yönetim Muhasebesi,ALİNA TARAN,Salı 15:40 - 18:30
ACCT 301,ACCT 301.B,Yönetim Muhasebesi,ALİNA TARAN,Salı 15:40 - 18:30
ACCT 301,ACCT 301.A,Yönetim Muhasebesi,ALİNA TARAN,Salı 11:40 - 14:30
ACCT 301,ACCT 301.A,Yönetim Muhasebesi,ALİNA TARAN,Salı 11:40 - 14:30
ACCT 412,ACCT 412.A,Bağımsız Denetim,SEBAHATTİN DEMİRKAN,Çarşamba 12:40 - 15:30
AI 112,AI 112.A,Yapay Zeka ve Toplum,REYHAN AYDOĞAN,Salı 15:40 - 18:30
ANTH 201,ANTH 201.A,Antropolojik Düşünce Tarihi,EZGİCAN ÖZDEMİR KELLY,Çarşamba 08:40 - 11:30
ANTH 203,ANTH 203.A,Araştırma Yöntemleri I,EZGİCAN ÖZDEMİR KELLY,Çarşamba 13:40 - 16:30
ANTH 205,ANTH 205.A,Ekonomi,ALPKAN BİRELMA,Cuma 08:40 - 11:30
ANTH 303,ANTH 303.A,Toplumsal Cinsiyet,BERNA ARSLAN,Perşembe 08:40 - 11:30
ARB 101,ARB 101.A,Arapça I,SALMA JEHAD AWAD ALAMASSI,Salı 13:40 - 15:30 / Cuma 14:40 - 16:30
ART 100,ART 100.A,Karakalem,MARTIN HARRISON,Perşembe 15:40 - 18:30
ART 101,ART 101.A,Resim I,MARTIN HARRISON,Salı 08:40 - 11:30
ART 101,ART 101.B,Resim I,MARTIN HARRISON,Perşembe 08:40 - 11:30
ART 102,ART 102.A,Resim II,MARTIN HARRISON,Salı 15:40 - 18:30
AVM 101,AVM 101.A,Hava Taşımacılığı,MEHMET ERTÜRK,Pazartesi 13:40 - 16:30
AVM 101,AVM 101.B,Hava Taşımacılığı,MEHMET ERTÜRK,Salı 13:40 - 16:30
BUS 100,BUS 100.B,İşletmenin Temelleri,AHMET MURAT FİŞ,Perşembe 16:40 - 17:30 / Salı 16:40 - 18:30
BUS 100,BUS 100.A,İşletmenin Temelleri,AHMET MURAT FİŞ,Salı 14:40 - 16:30 / Perşembe 16:40 - 17:30
BUS 102,BUS 102.B,İşletmeye Giriş II (Girişimcilik),BOCHRA IDRIS,Salı 14:40 - 16:30
BUS 102,BUS 102.A,İşletmeye Giriş II (Girişimcilik),BOCHRA IDRIS,Salı 16:40 - 18:30
BUS 190,BUS 190.B,İşletme Bilişimine Giriş,PELİN ATAHAN DEMİRCİLER,Salı 12:40 - 13:30
BUS 190,BUS 190.D,İşletme Bilişimine Giriş,PELİN ATAHAN DEMİRCİLER,Salı 11:40 - 12:30
BUS 190,BUS 190.E,İşletme Bilişimine Giriş,PELİN ATAHAN DEMİRCİLER,Salı 12:40 - 13:30
BUS 190,BUS 190.F,İşletme Bilişimine Giriş,PELİN ATAHAN DEMİRCİLER,Salı 13:40 - 14:30
BUS 190,BUS 190.C,İşletme Bilişimine Giriş,PELİN ATAHAN DEMİRCİLER,Salı 13:40 - 14:30
BUS 190,BUS 190.A,İşletme Bilişimine Giriş,PELİN ATAHAN DEMİRCİLER,Salı 11:40 - 12:30
BUS 201,BUS 201.B,İş Kararı Modelleme,NAGİHAN ÇÖMEZ DOLGAN,Pazartesi 08:40 - 11:30
BUS 201,BUS 201.A,İş Kararı Modelleme,BO WEI,Çarşamba 14:40 - 17:30
BUS 201,BUS 201.B,İş Kararı Modelleme,NAGİHAN ÇÖMEZ DOLGAN,Pazartesi 08:40 - 11:30
BUS 201,BUS 201.A,İş Kararı Modelleme,BO WEI,Çarşamba 14:40 - 17:30
BUS 301,BUS 301.A,İş Analitiği,AYŞE ÇETİNEL,Çarşamba 12:40 - 15:30
BUS 311,BUS 311.A,Staj I,Staj I,
BUS 312,BUS 312.A,Staj II,Staj II,
CE 208,CE 208.A,Yapı İşletmesi,SENEM SEYİS KAZAZOĞLU,Pazartesi 10:40 - 12:30 / Cuma 10:40 - 12:30
CE 302,CE 302.A,Zemin Mekaniği,SAFİYE FEYZA ÇİNİCİOĞLU,Salı 14:40 - 16:30 / Pazartesi 16:40 - 18:30
CE 310,CE 310.A,Ulaştırma Mühendisliği,BEKİR OĞUZ BARTIN,Pazartesi 12:40 - 15:30
CE 420,CE 420.A,Geoteknik Deprem Mühendisliği,MUSTAFA ATİLLA ANSAL,Çarşamba 15:40 - 18:30
CE 424,CE 424.A,Geoteknik Yapılar,SAFİYE FEYZA ÇİNİCİOĞLU,Perşembe 13:40 - 16:30
CHEM 111,CHEM 111.A,Kimya,İLKNUR ERUÇAR FINDIKÇI,Pazartesi 12:40 - 14:30 / Çarşamba 12:40 - 14:30
CHEM 111,CHEM 111.B,Kimya,İLKNUR ERUÇAR FINDIKÇI,Pazartesi 08:40 - 10:30 / Çarşamba 08:40 - 10:30
CHN 101,CHN 101.A,Çince I,LALE GÜNER,Pazartesi 10:40 - 12:30 / Çarşamba 10:40 - 12:30
CHN 202,CHN 202.A,Çince IV,LALE GÜNER,Pazartesi 13:40 - 15:30 / Çarşamba 15:40 - 17:30
COD 316,COD 316.A,Anlatı Yapıları,METİN ÇAVUŞ,Salı 13:40 - 16:30
COD 322,COD 322.A,Tasarım İçin Rol Oynama,SALİH ALP TUĞAN,Perşembe 13:40 - 16:30
COD 323,COD 323.A,Ses Tasarımı,SALİH ALP TUĞAN,Çarşamba 13:40 - 16:30
COD 403,COD 403.A,Etkileşimli Pazarlama,METİN ÇAVUŞ,Cuma 16:40 - 19:30
CS 104,CS 104.A,Programlamaya Giriş,ALİ ERKAN,Pazartesi 08:40 - 10:30 / Pazartesi 08:40 - 10:30
CS 105,CS 105.A,Nesne-Yönelimli Programlamaya Giriş,NİTEL MUHTAROĞLU,Salı 08:40 - 10:30 / Cuma 08:40 - 10:30
CS 201,CS 201.B,Veri Yapıları ve Algoritmalar,EMRE SEFER,Salı 09:40 - 11:30
CS 201,CS 201.A,Veri Yapıları ve Algoritmalar,OLCAY TANER YILDIZ,Salı 09:40 - 11:30
CS 202,CS 202.A,Veritabanı Yönetim Sistemleri,HÜSEYİN ULUSOY,Çarşamba 12:40 - 15:30
CS 240,CS 240.A,Bilgisayar Mimarisi,İSMAİL AKTÜRK,Salı 14:40 - 17:30
CS 320,CS 320.A,Yazılım Mühendisliği,HASAN SÖZER,Çarşamba 09:40 - 12:30
CS 321,CS 321.A,Programlama Paradigmaları,MUSTAFA FURKAN KIRAÇ,Salı 08:40 - 11:30
CS 350,CS 350.A,İşletim Sistemleri,İSMAİL ARI,Çarşamba 15:40 - 18:30
CS 410,CS 410.A,Otomat Kuramı ve Biçimsel Diller,OLCAY TANER YILDIZ,Salı 14:40 - 16:30 / Perşembe 14:40 - 16:30
CS 423,CS 423.A,Bilgisayarla Görme,HASAN FEHMİ ATEŞ,Pazartesi 11:40 - 14:30
CS 434,CS 434.A,Yazılım Tasarım Örüntüleri,EMRE KAPLAN,Cuma 14:40 - 17:30
CS 440,CS 440.A,Finansta Makine Öğrenmesi,EMRE SEFER,Salı 12:40 - 15:30
CS 440,CS 440.A,Finansta Makine Öğrenmesi,EMRE SEFER,Salı 12:40 - 15:30
CS 447,CS 447.A,Bilgisayar Ağları,MEHMET REHA CİVANLAR,Salı 20:40 - 22:30 / Pazartesi 20:40 - 21:30
CS 452,CS 452.A,Python ile Veri Bilimi,OLCAY TANER YILDIZ,Pazartesi 08:40 - 11:30 / Pazartesi 08:40 - 11:30
CS 454,CS 454.A,Yapay Sinir Ağları ve Otomatik Öğrenmeye Giriş,AHMET İBRAHİM ETHEM ALPAYDIN,Perşembe 10:40 - 13:30
CS 460,CS 460.A,Bilgi Erişim Sistemleri ve Arama Motorları,ZEYNEP İLKNUR KARADENİZ EROL,Pazartesi 15:40 - 18:30
CS 462,CS 462.A,Çok Etmenli Sistemlerde Ortak Karar Alma,REYHAN AYDOĞAN,Çarşamba 11:40 - 14:30
ECON 101,ECON 101.B,Mikroekonomi,ÖZGÜN EKİCİ,Cuma 09:40 - 12:30
ECON 101,ECON 101.C,Mikroekonomi,YUSUF KULU,Çarşamba 08:40 - 11:30
ECON 101,ECON 101.D,Mikroekonomi,YUSUF KULU,Cuma 09:40 - 12:30
ECON 101,ECON 101.E,Mikroekonomi,YUSUF KULU,Pazartesi 08:40 - 11:30
ECON 101,ECON 101.F,Mikroekonomi,ÖZGÜN EKİCİ,Perşembe 13:40 - 16:30
