Ders Kodu,Ders Section,Ders Adı,Hoca,Saat
ACCT 201,ACCT 201.A,Finansal Muhasebe,ALİNA TARAN,Çarşamba 12:40 - 15:30
ACCT 201,ACCT 201.B,Finansal Muhasebe,ALİNA TARAN,Perşembe 13:40 - 16:30
ACCT 301,ACCT 301.A,Yönetim Muhasebesi,ALİNA TARAN,Perşembe 08:40 - 11:30
BUS 100,BUS 100.A,İşletmenin Temelleri,MEHMET ERDEM GENÇ,Salı 14:40 - 16:30 / Perşembe 15:40 - 16:30
BUS 101,BUS 101.A,İşletmeye Giriş I (Karar Verme),PELİN ATAHAN DEMİRCİLER,Salı 16:40 - 18:30
BUS 101L,BUS 101L.A,İşletmeye Giriş I (Karar Verme) - Lab.,PELİN ATAHAN DEMİRCİLER,Cuma 14:40 - 16:30
BUS 101L,BUS 101L.B,İşletmeye Giriş I (Karar Verme) - Lab.,PELİN ATAHAN DEMİRCİLER,Çarşamba 12:40 - 14:30
BUS 101L,BUS 101L.C,İşletmeye Giriş I (Karar Verme) - Lab.,PELİN ATAHAN DEMİRCİLER,Perşembe 14:40 - 16:30
BUS 101L,BUS 101L.D,İşletmeye Giriş I (Karar Verme) - Lab.,PELİN ATAHAN DEMİRCİLER,Cuma 16:40 - 18:30
BUS 101L,BUS 101L.E,İşletmeye Giriş I (Karar Verme) - Lab.,PELİN ATAHAN DEMİRCİLER,Perşembe 10:40 - 12:30
BUS 101L,BUS 101L.F,İşletmeye Giriş I (Karar Verme) - Lab.,PELİN ATAHAN DEMİRCİLER,Çarşamba 08:40 - 10:30
BUS 101L,BUS 101L.G,İşletmeye Giriş I (Karar Verme) - Lab.,PELİN ATAHAN DEMİRCİLER,Çarşamba 16:40 - 18:30
BUS 102,BUS 102.A,İşletmeye Giriş II (Girişimcilik),AHMET MURAT FİŞ,Salı 14:40 - 16:30
BUS 102,BUS 102.B,İşletmeye Giriş II (Girişimcilik),AHMET MURAT FİŞ,Salı 16:40 - 18:30
